,dwarf name,constellation,distance,mass,radius,discovery
0,SDSS J000013.54+255418.6 [de],Pegasus,46.1,0.045820224,0.1017353699999999,2004.0
1,2MASS 0036+1821,Pisces,28.6,0.040092696000000004,0.0965972199999999,2000.0
2,2MASS J02431371−2453298,Fornax,35.0,0.031501404000000004,0.1017353699999999,2002.0
3,Teegarden's star,Aries,12.578,0.07636704,0.1305090099999999,2003.0
4,DEN 0255-4700,Eridanus,16.2,0.07636704,0.0996801099999999,2006.0
5,2MASS J03185403-3421292 [de],Fornax,45.0,0.046774812,0.0996801099999999,2008.0
6,2MASS J03264225-2102057 [de],Eridanus,80.0,0.017182584,0.1335918999999999,2003.0
7,2MASS J03284265+2302051 [de],Taurus,98.0,0.051547752,0.1007077399999999,2000.0
8,Teide 1,Taurus,380.0,0.05250234,0.3884441399999999,1995.0
9,2MASS J03552337+1133437,Taurus,29.8,0.01909176,0.13564716,2006.0
10,2MASS J04151954−0935066,Eridanus,18.6,0.028637640000000002,0.0976248499999999,2002.0
11,2MASS J04285096-2253227 [de],Eridanus,85.0,0.07636704,0.11201167,2003.0
12,2MASS J04390101-2353083 [de],Eridanus,29.5,0.045820224,0.0996801099999999,2003.0
13,2MASS J04455387-3048204 [de],Caelum,42.0,0.061093632,0.102763,2003.0
14,2MASS J04510093-3402150 [de],Caelum,69.0,0.00099277152,7.398935999999999,2003.0
15,2MASS J05002100+0330501 [de],Orion,44.0,0.061093632,0.102763,2008.0
16,2MASS J05012406-0010452 [de],Orion,64.0,0.020046348000000002,0.1418129399999999,2008.0
17,2MASS J05160945-0445499 [de],Orion,73.0,0.044865636,0.0996801099999999,2003.0
18,LSR 0602+3910 [de],Auriga,34.6,0.026728464,0.1448958299999999,2003.0
19,2MASS J06244595-4521548 [de],Puppis,39.0,0.053456928,0.1017353699999999,2008.0
20,2MASS J06411840-4322329 [de],Puppis,65.0,0.063957396,0.10379063,2008.0
21,DENIS-P J0652197-253450 [de],Canis Major,51.0,0.07159410000000001,0.10790115,2008.0
22,UGPS J072227.51-054031.2,Monoceros,13.4,0.024819288000000002,0.1007077399999999,2010.0
23,2MASSI J0727182+171001 [de],Gemini,29.6,0.039138108,0.0965972199999999,2002.0
24,2MASS J07290002-3954043 [de],Puppis,25.8,0.035319756,0.0965972199999999,2007.0
25,SDSS J074201.41+205520.5 [de],Gemini,49.0,0.041047284,0.0965972199999999,2004.0
26,DENIS-P J0751164-253043 [de],Puppis,55.0,0.067775748,0.10584589,2008.0
27,DENIS J081730.0-615520,Carina,16.1,0.042001872,0.0965972199999999,2010.0
28,2MASS J08251968+2115521 [de],Cancer,35.0,0.049638576000000004,0.1007077399999999,2000.0
29,SDSSp J083008.12+482847.4 [de],Lynx,43.0,0.045820224,0.1017353699999999,2002.0
30,SDSS J083048.80+012831.1 [de],Hydra,77.0,0.043911048,0.0986524799999999,2004.0
31,2MASSI J0835425-081923 [de],Hydra,23.53,0.059184456,0.102763,2003.0
32,2MASSI J0847287-153237 [de],Hydra,43.0,0.061093632,0.102763,2003.0
